data_source_id,trait_domain_name,n_records,n_taxa,n_datasets,n_trait_names,value_minimum,value_lwr_25,value_median,value_upr_75,value_maximum,n_shared_taxa,ratio_lwr_25,ratio_median,ratio_upr_75,nearest_power_of_ten_ratio,factor_relative_error,fraction_within_factor_two,fraction_within_25_percent,data_source_desc,absolute_log10_ratio,scale_cluster_strength
468,Leaf mass per area,581,73,172,1,42.5531914893617,222.22222222222223,416.6666666666667,588.2352941176471,1666.6666666666667,56,1.727492052304241e-5,4.8702313035956784e-5,8.604092558556176e-5,1e-4,0.5129768696404322,0.4107142857142857,0.17857142857142858,Mont_Mégantic_Individual_Traits_2016-2017,4.312450412196092,investigate
211,Leaf mass per area,568,55,5,1,6.520278588031063,73.23399351858406,116.59661897098736,793.3961684487404,11138.211382113825,55,5.433894624979065e-6,8.47696841682034e-5,1.715798960893963e-4,1e-4,0.15230315831796604,0.32727272727272727,0.14545454545454545,Traits of US Desert Woody Plant Species,4.071759434918213,investigate
258,Leaf mass per area,612,26,4,1,42.977011494252814,117.73591868107525,169.01025781184808,215.78602484472034,372.59146343015124,21,1.1925251782386072e-4,2.3555918304738442e-4,4.2540146091408376e-4,1e-4,1.3555918304738441,0.38095238095238093,0.19047619047619047,Rocky Mountain Biological Laboratory WSR/gradient plant traits,3.6278999605445414,investigate
142,Leaf mass per area,81,16,47,1,8.031582526475287e-6,3.5745381958792866e-5,4.869787443568945e-5,6.248240433543391e-5,1.0219027534152124e-4,12,113.6571071312806,181.9468446547817,627.5322436517889,100,0.819468446547817,0.4166666666666667,0.3333333333333333,Traits of Ukraine native and invasive plant species,2.2599445283976642,investigate
523,Leaf mass per area,108,11,1,1,46.87160839971096,111.17547868776704,155.75221750565117,178.70263450843845,779.3618740847369,11,7.99055325682879e-5,3.326925147859913e-4,0.27850692121729026,0.001,0.6673074852140087,0.18181818181818182,0.09090909090909091,"Maxfield Meadow, Rocky Mountain Biological Laboratory - LMA",3.4779569701672735,investigate
566,Leaf mass per area,235,4,1,1,0.03339523942446404,0.05277935475544997,0.06950332534489913,0.11145871821244047,3.302524686000494,4,0.12931049726320099,0.14099584473863114,0.2687024196105691,0.1,0.4099584473863113,0.75,0.25,Gavinet J,0.8507936861650082,investigate
256,Leaf mass per area,70,3,9,1,0.04676240134882251,0.06896154879446789,0.17675803088507336,0.24508685927439558,0.295032616059204,3,0.12329086235251299,0.12408786843517523,0.3845492571405413,0.1,0.24087868435175228,0.6666666666666666,0.6666666666666666,Structural and biochemical leaf traits of boreal tree species in Finland,0.9062706756261705,investigate
380,Leaf mass per area,24,6,9,1,0.11171019697161239,0.13176579765558044,0.14765782777074038,0.16627137830733366,0.2104774156660947,3,0.07329826618677183,0.07357900427838593,0.08526900326785708,0.1,0.26420995721614077,1,0.3333333333333333,Colorado Plateau Restoration Species,1.1332460936362931,investigate
217,Leaf mass per area,56,2,3,1,0.0025037138612729972,0.003304916103829933,0.004120932320596953,0.005347742030969855,0.0174551241247893,2,7.175278468338727,7.382044009845107,7.588809551351487,10,0.2617955990154893,1,0.5,Leaf Characteristics of Pinus Sylvestris and Picea Abies,0.8681766300192029,investigate
325,Leaf mass per area,60,2,1,1,0.035496446522629496,0.06928594986928628,0.09224537648232312,0.10545593934257512,0.1346565815523631,2,0.10481786155909634,0.1220798554447237,0.13934184933035107,0.1,0.22079855444723698,1,0.5,"Barbeau Leaf Minerals, Quercus petraea, Carpinus betulus",0.9133559936388342,investigate
