trait_domain_name,taxon_name,n_records,mean,median,sd,iqr,n_suspected_outliers
Diaspore mass,Panicum acuminatum,58,0.25540886724137934,0.249714286,0.058659475629466655,0,0
Diaspore mass,Panicum linearifolium,51,0.47094474117647056,0.472363636,0.010132935829865224,0,0
Diaspore mass,Panicum virgatum,52,0.33828926249999997,0.307333333,0.16183976055273894,0,0
Diaspore mass,Parthenium integrifolium,52,1.479423076923077,1.4154,0.32323853549594395,0,0
Diaspore mass,Pediomelum esculentum,50,17.20173333,17.20173333,0,0,0
Diaspore mass,Penstemon digitalis,50,0.0996,0.0996,0,0,0
Diaspore mass,Penstemon pallidus,50,0.069466667,0.069466667,0,0,0
Diaspore mass,Phacelia hastata,10,1.2999,1.3085,0.307336749800244,0.26049999999999995,2
Diaspore mass,Phemeranthus calycinus,50,0.402,0.402,0,0,0
Diaspore mass,Phillyrea angustifolia,13,59.34615384615385,29,46.47397596835989,95.03,0
Diaspore mass,Phlox pilosa,50,1.9342,1.9342,0,0,0
Diaspore mass,Phyllodoce caerulea,13,6.408592307692308,1.2,8.409911895739608,13.3,1
Diaspore mass,Physalis virginiana,51,0.9891503264705883,0.978333333,0.07724878468222121,0,0
Diaspore mass,Physospermum cornubiense,95,0.017558947368421052,0.0136,0.013460197389852654,0.0194,6
Diaspore mass,Physostegia angustifolia,50,0.925733333,0.925733333,0,0,0
Diaspore mass,Pinus pinaster,32629,65.43793772411045,64,19.2948643748698,26,1409
Diaspore mass,Plantago lanceolata,12,1.3815,1.4,0.4023134237247011,0.46750000000000025,0
Diaspore mass,Plantago virginica,50,0.4894,0.4894,0,0,0
Diaspore mass,Polytaenia nuttallii,50,8.7644,8.7644,0,0,0
Diaspore mass,Primula meadia,50,0.206,0.206,0,0,0
Diaspore mass,Pycnanthemum tenuifolium,50,0.066533333,0.066533333,0,0,0
Diaspore mass,Quercus ilex,11,1227.8136363636363,3.1,1568.9882327428254,2251.185,2
Diaspore mass,Quercus pyrenaica,10,2112.795,4.800000000000001,2797.15878114144,4784.049999999999,0
Diaspore mass,Quercus suber,11,1897.9481818181819,4.7,2314.429438046527,3718.46,1
Diaspore mass,Ratibida pinnata,51,0.7586321191960784,0.756833333,0.01284590287754497,0,0
Diaspore mass,Rhamnus alaternus,10,17.518,8.629999999999999,25.71319583404599,2.847500000000002,2
Diaspore mass,Rhododendron ferrugineum,20,0.029025000000000002,0.0275,0.005585307323213006,0.008274999999999998,1
Diaspore mass,Rudbeckia missouriensis,50,0.5074,0.5074,0,0,0
Diaspore mass,Ruellia humilis,50,4.8166,4.8166,0,0,0
Diaspore mass,Sabulina michauxii,50,0.149866667,0.149866667,0,0,0
Diaspore mass,Salix herbacea,16,0.326085416625,0.125,0.3050918098873776,0.49416666649999996,1
Diaspore mass,Sanguisorba minor,11,6.723909090909091,5.78,2.9205244205294862,3.634500000000001,1
Diaspore mass,Schizachyrium scoparium,53,0.25392452862264153,0.175066667,0.3274039993263177,0,0
Diaspore mass,Scleria oligantha,50,1.275,1.275,0,0,0
Diaspore mass,Scleria pauciflora,50,2.3736,2.3736,0,0,0
Diaspore mass,Scutellaria bushii,50,1.4636,1.4636,0,0,0
Diaspore mass,Scutellaria parvula,50,0.2004,0.2004,0,0,0
Diaspore mass,Senecio crassulus,15,2.7226,2.72,0.7969148368193788,0.6829999999999998,3
Diaspore mass,Silene antirrhina,51,0.10627450980392156,0.1064,8.961792537779248e-4,0,0
Diaspore mass,Silphium integrifolium,50,8.184133333,8.184133333,0,0,0
Diaspore mass,Silphium laciniatum,50,26.3252,26.3252,0,0,0
Diaspore mass,Silphium terebinthinaceum,50,9.8675,9.8675,0,0,0
Diaspore mass,Sisyrinchium campestre,50,0.789933333,0.789933333,0,0,0
Diaspore mass,Solidago gattingeri,50,0.039733333,0.039733333,0,0,0
Diaspore mass,Solidago nemoralis,53,0.03677358490566038,0.0341,0.01170534314128178,0,0
Diaspore mass,Solidago ptarmicoides,50,0.6064,0.6064,0,0,0
Diaspore mass,Solidago radula,50,0.037333333,0.037333333,0,0,0
Diaspore mass,Sorghastrum nutans,84,1.6302198410714286,1.335133333,0.40002662480149515,0.564866667,12
Diaspore mass,Sporobolus compositus,50,0.990666667,0.990666667,0,0,0
Diaspore mass,Sporobolus heterolepis,51,1.6532026147058823,1.655466667,0.016168567416919417,0,0
Diaspore mass,Sporobolus neglectus,50,1.304666667,1.304666667,0,0,0
Diaspore mass,Stenaria nigricans,50,0.069066667,0.069066667,0,0,0
Diaspore mass,Stipa lettermanii,10,0.41910000000000003,0.4385,0.061056349201191004,0.07624999999999998,1
Diaspore mass,Symphyotrichum laeve,51,0.08044444411764706,0.075933333,0.03221577717988041,0,0
Diaspore mass,Symphyotrichum oblongifolium,50,0.285866667,0.285866667,0,0,0
Diaspore mass,Symphyotrichum oolentangiense,51,0.12895424803921568,0.128133333,0.005862505998473274,0,0
Diaspore mass,Symphyotrichum patens,50,0.3002,0.3002,0,0,0
Diaspore mass,Symphyotrichum sericeum,50,0.086866667,0.086866667,0,0,0
Diaspore mass,Tragia ramosa,50,11.46361538,11.46361538,0,0,0
Diaspore mass,Trichostema brachiatum,51,1.6510130715686275,1.643133333,0.05627258902348162,0,0
Diaspore mass,Tridens flavus,50,0.834333333,0.834333333,0,0,0
Diaspore mass,VACCINIUM VITIS-IDAEA,18,0.2703203703888889,0.22,0.1384301636624763,0.07974999975000002,4
Diaspore mass,Vaccinium myrtillus,24,0.241786111125,0.2398333335,0.04642363623613107,0.056583333250000006,1
Diaspore mass,Vaccinium uliginosum,26,0.20573333334615385,0.2118333335,0.03226212088623782,0.03980000000000003,2
Diaspore mass,Verbascum thapsus,51,0.07376470588235294,0.0736,0.001176235270583529,0,0
Diaspore mass,Verbena simplex,51,0.5403137254901961,0.535,0.03794759027715907,0,0
Diaspore mass,Verbesina helianthoides,50,1.487133333,1.487133333,0,0,0
