scale_id,n_iter,n_step_size,n_sampling,n_samples_anova,n_early_stopping
am_r008_l008,3200,NA,200,500,NA
am_r008_l009,6400,NA,200,500,NA
am_r008_l010,3200,NA,200,500,NA
am_r008_l011,3200,NA,200,500,NA
am_r008_l012,3200,NA,200,500,NA
am_r008_l013,6400,NA,200,500,NA
am_r008_l014,10000,NA,800,500,NA
am_r008_l015,3200,NA,200,500,NA
am_r008_l016,3200,NA,200,500,NA
am_r009_l001,3200,NA,200,500,NA
am_r009_l002,3200,NA,200,500,NA
am_r009_l003,6400,NA,400,500,NA
am_r009_l004,3200,NA,200,500,NA
am_r009_l005,3200,NA,200,500,NA
am_r009_l006,3200,NA,200,500,NA
am_r009_l007,3200,NA,200,500,NA
am_r009_l008,3200,NA,200,500,NA
am_r010_l001,3200,NA,200,500,NA
am_r010_l002,6400,NA,200,500,NA
am_r010_l003,3200,NA,200,500,NA
am_r010_l004,3200,NA,200,500,NA
am_r010_l005,3200,NA,200,500,NA
am_r010_l006,3200,NA,200,500,NA
am_r010_l007,3200,NA,200,500,NA
am_r010_l008,3200,NA,200,500,NA
am_r011_l001,13600,NA,400,500,NA
am_r011_l002,3200,NA,200,500,NA
am_r011_l003,3200,NA,200,500,NA
am_r011_l004,6400,NA,200,500,NA
am_r011_l005,13600,NA,400,500,NA
am_r011_l006,3200,NA,200,500,NA
am_r011_l007,3200,NA,200,500,NA
am_r011_l008,3200,NA,200,500,NA
am_r011_l009,18000,NA,500,500,NA
am_r011_l010,6400,NA,200,500,NA
am_r011_l011,3200,NA,200,500,NA
am_r011_l012,3200,NA,200,500,NA
am_r011_l013,3200,NA,200,500,NA
am_r011_l014,12000,NA,400,500,NA
am_r011_l015,3200,NA,200,500,NA
am_r011_l016,3200,NA,200,500,NA
am_r012_l001,3200,NA,200,500,NA
am_r012_l002,3200,NA,200,500,NA
am_r012_l003,3200,NA,200,500,NA
am_r012_l004,3200,NA,200,500,NA
am_r012_l005,3200,NA,200,500,NA
am_r012_l006,3200,NA,200,500,NA
am_r012_l007,3200,NA,200,500,NA
am_r012_l008,3200,NA,200,500,NA
as_r001_l001,3200,NA,200,500,NA
as_r001_l002,3200,NA,200,500,NA
as_r001_l003,3200,NA,200,500,NA
as_r001_l004,3200,NA,200,500,NA
as_r001_l005,3200,NA,200,500,NA
as_r001_l006,3200,NA,200,500,NA
as_r001_l007,3200,NA,200,500,NA
as_r001_l008,3200,NA,200,500,NA
as_r002_l001,3200,NA,200,500,NA
as_r002_l002,3200,NA,200,500,NA
as_r002_l003,3200,NA,200,500,NA
as_r002_l004,3200,NA,200,500,NA
as_r002_l005,3200,NA,200,500,NA
as_r002_l006,3200,NA,200,500,NA
as_r002_l007,3200,NA,200,500,NA
as_r002_l008,3200,NA,200,500,NA
as_r002_l009,3200,NA,200,500,NA
as_r002_l010,3200,NA,200,500,NA
as_r002_l011,3200,NA,200,500,NA
as_r002_l012,3200,NA,200,500,NA
as_r003_l001,3200,NA,200,500,NA
as_r003_l002,3200,NA,200,500,NA
as_r003_l003,3200,NA,200,500,NA
as_r003_l004,3200,NA,200,500,NA
as_r003_l005,3200,NA,200,500,NA
as_r003_l006,3200,NA,200,500,NA
as_r003_l007,3200,NA,200,500,NA
as_r003_l008,3200,NA,200,500,NA
as_r004_l001,3200,NA,200,500,NA
as_r004_l002,3200,NA,200,500,NA
as_r004_l003,3200,NA,200,500,NA
as_r004_l004,3200,NA,200,500,NA
as_r004_l005,3200,NA,200,500,NA
as_r004_l006,3200,NA,200,500,NA
as_r004_l007,3200,NA,200,500,NA
as_r004_l008,3200,NA,200,500,NA
as_r004_l009,3200,NA,200,500,NA
as_r004_l010,3200,NA,200,500,NA
as_r004_l011,3200,NA,200,500,NA
as_r004_l012,3200,NA,200,500,NA
as_r005_l001,3200,NA,200,500,NA
as_r005_l002,3200,NA,200,500,NA
as_r005_l003,3200,NA,200,500,NA
as_r005_l004,3200,NA,200,500,NA
as_r005_l005,3200,NA,200,500,NA
as_r005_l006,3200,NA,200,500,NA
as_r005_l007,3200,NA,200,500,NA
as_r005_l008,3200,NA,200,500,NA
as_r006_l001,3200,NA,200,500,NA
as_r006_l002,3200,NA,200,500,NA
as_r006_l003,3200,NA,200,500,NA
as_r006_l004,3200,NA,200,500,NA
as_r006_l005,3200,NA,200,500,NA
as_r006_l006,3200,NA,200,500,NA
as_r006_l007,3200,NA,200,500,NA
as_r006_l008,3200,NA,200,500,NA
as_r006_l009,3200,NA,200,500,NA
as_r006_l010,3200,NA,200,500,NA
as_r006_l011,3200,NA,200,500,NA
as_r006_l012,3200,NA,200,500,NA
as_r007_l001,3200,NA,200,500,NA
as_r007_l002,3200,NA,200,500,NA
as_r007_l003,3200,NA,200,500,NA
as_r007_l004,3200,NA,200,500,NA
as_r007_l005,3200,NA,200,500,NA
as_r007_l006,3200,NA,200,500,NA
as_r007_l007,3200,NA,200,500,NA
as_r007_l008,3200,NA,200,500,NA
as_r008_l001,3200,NA,200,500,NA
as_r008_l002,3200,NA,200,500,NA
as_r008_l003,3200,NA,200,500,NA
as_r008_l004,3200,NA,200,500,NA
as_r008_l005,3200,NA,200,500,NA
as_r008_l006,3200,NA,200,500,NA
as_r008_l007,3200,NA,200,500,NA
as_r008_l008,3200,NA,200,500,NA
as_r008_l009,3200,NA,200,500,NA
as_r008_l010,3200,NA,200,500,NA
as_r008_l011,3200,NA,200,500,NA
as_r008_l012,3200,NA,200,500,NA
