analysis_id,tier_id,continent_id,resolution_id,scale_id,cv_budget_status,cv_budget_assignment_scope,cv_budget_source_scale_id,cv_budget_order,cv_n_iter_initial,cv_n_iter_max,cv_n_sampling,cv_n_step_size,cv_n_early_stopping,cv_measured_seconds_per_fit,cv_measured_seconds_per_epoch
paleo_spatial,local,europe,family,eu_r005_l004,calibrated,exact_group,eu_r005_l006,1,500,2000,200,NA,NA,7.170000000000002,0.026378539312188552
paleo_spatial,local,europe,family,eu_r005_l005,calibrated,exact_group,eu_r005_l006,1,500,2000,200,NA,NA,7.170000000000002,0.026378539312188552
paleo_spatial,local,europe,family,eu_r005_l006,calibrated,exact_group,eu_r005_l006,1,500,2000,200,NA,NA,7.170000000000002,0.026378539312188552
paleo_spatial,local,europe,family,eu_r005_l007,calibrated,exact_group,eu_r005_l006,1,500,2000,200,NA,NA,7.170000000000002,0.026378539312188552
paleo_spatial,local,europe,family,eu_r005_l008,calibrated,exact_group,eu_r005_l006,1,500,2000,200,NA,NA,7.170000000000002,0.026378539312188552
paleo_spatial,local,europe,family,eu_r005_l009,calibrated,exact_group,eu_r005_l006,1,500,2000,200,NA,NA,7.170000000000002,0.026378539312188552
paleo_spatial,local,europe,family,eu_r005_l010,calibrated,exact_group,eu_r005_l006,1,500,2000,200,NA,NA,7.170000000000002,0.026378539312188552
paleo_spatial,local,europe,family,eu_r005_l011,calibrated,exact_group,eu_r005_l006,1,500,2000,200,NA,NA,7.170000000000002,0.026378539312188552
paleo_spatial,local,europe,family,eu_r005_l012,calibrated,exact_group,eu_r005_l006,1,500,2000,200,NA,NA,7.170000000000002,0.026378539312188552
paleo_spatial,local,europe,family,eu_r005_l013,calibrated,exact_group,eu_r005_l006,1,500,2000,200,NA,NA,7.170000000000002,0.026378539312188552
paleo_spatial,local,europe,family,eu_r005_l014,calibrated,exact_group,eu_r005_l006,1,500,2000,200,NA,NA,7.170000000000002,0.026378539312188552
paleo_spatial,local,europe,family,eu_r005_l015,calibrated,exact_group,eu_r005_l006,1,500,2000,200,NA,NA,7.170000000000002,0.026378539312188552
paleo_spatial,local,europe,family,eu_r005_l016,calibrated,exact_group,eu_r005_l006,1,500,2000,200,NA,NA,7.170000000000002,0.026378539312188552
paleo_spatial,local,europe,family,eu_r006_l001,calibrated,exact_group,eu_r005_l006,1,500,2000,200,NA,NA,7.170000000000002,0.026378539312188552
paleo_spatial,local,europe,family,eu_r006_l002,calibrated,exact_group,eu_r005_l006,1,500,2000,200,NA,NA,7.170000000000002,0.026378539312188552
paleo_spatial,local,europe,family,eu_r006_l003,calibrated,exact_group,eu_r005_l006,1,500,2000,200,NA,NA,7.170000000000002,0.026378539312188552
paleo_spatial,local,europe,family,eu_r006_l004,calibrated,exact_group,eu_r005_l006,1,500,2000,200,NA,NA,7.170000000000002,0.026378539312188552
paleo_spatial,local,europe,family,eu_r006_l005,calibrated,exact_group,eu_r005_l006,1,500,2000,200,NA,NA,7.170000000000002,0.026378539312188552
paleo_spatial,local,europe,family,eu_r006_l006,calibrated,exact_group,eu_r005_l006,1,500,2000,200,NA,NA,7.170000000000002,0.026378539312188552
paleo_spatial,local,europe,family,eu_r006_l007,calibrated,exact_group,eu_r005_l006,1,500,2000,200,NA,NA,7.170000000000002,0.026378539312188552
paleo_spatial,local,europe,family,eu_r006_l008,calibrated,exact_group,eu_r005_l006,1,500,2000,200,NA,NA,7.170000000000002,0.026378539312188552
paleo_spatial,local,europe,family,eu_r007_l001,calibrated,exact_group,eu_r005_l006,1,500,2000,200,NA,NA,7.170000000000002,0.026378539312188552
paleo_spatial,local,europe,family,eu_r007_l002,calibrated,exact_group,eu_r005_l006,1,500,2000,200,NA,NA,7.170000000000002,0.026378539312188552
paleo_spatial,local,europe,family,eu_r007_l003,calibrated,exact_group,eu_r005_l006,1,500,2000,200,NA,NA,7.170000000000002,0.026378539312188552
paleo_spatial,local,europe,family,eu_r007_l004,calibrated,exact_group,eu_r005_l006,1,500,2000,200,NA,NA,7.170000000000002,0.026378539312188552
paleo_spatial,local,europe,family,eu_r008_l001,calibrated,exact_group,eu_r005_l006,1,500,2000,200,NA,NA,7.170000000000002,0.026378539312188552
paleo_spatial,local,europe,family,eu_r008_l002,calibrated,exact_group,eu_r005_l006,1,500,2000,200,NA,NA,7.170000000000002,0.026378539312188552
paleo_spatial,local,europe,family,eu_r008_l003,calibrated,exact_group,eu_r005_l006,1,500,2000,200,NA,NA,7.170000000000002,0.026378539312188552
paleo_spatial,local,europe,family,eu_r008_l004,calibrated,exact_group,eu_r005_l006,1,500,2000,200,NA,NA,7.170000000000002,0.026378539312188552
paleo_spatial,local,europe,family,eu_r008_l005,calibrated,exact_group,eu_r005_l006,1,500,2000,200,NA,NA,7.170000000000002,0.026378539312188552
paleo_spatial,local,europe,family,eu_r008_l006,calibrated,exact_group,eu_r005_l006,1,500,2000,200,NA,NA,7.170000000000002,0.026378539312188552
paleo_spatial,local,europe,family,eu_r008_l007,calibrated,exact_group,eu_r005_l006,1,500,2000,200,NA,NA,7.170000000000002,0.026378539312188552
paleo_spatial,local,europe,family,eu_r008_l008,calibrated,exact_group,eu_r005_l006,1,500,2000,200,NA,NA,7.170000000000002,0.026378539312188552
paleo_spatial,local,europe,family,eu_r008_l009,calibrated,exact_group,eu_r005_l006,1,500,2000,200,NA,NA,7.170000000000002,0.026378539312188552
paleo_spatial,local,europe,family,eu_r008_l010,calibrated,exact_group,eu_r005_l006,1,500,2000,200,NA,NA,7.170000000000002,0.026378539312188552
paleo_spatial,local,europe,family,eu_r008_l011,calibrated,exact_group,eu_r005_l006,1,500,2000,200,NA,NA,7.170000000000002,0.026378539312188552
paleo_spatial,local,europe,family,eu_r008_l012,calibrated,exact_group,eu_r005_l006,1,500,2000,200,NA,NA,7.170000000000002,0.026378539312188552
