taxon_name,trait_domain_name,data_source_id,n_records,source_taxon_median,source_taxon_log10_median,n_sources_for_taxon,other_source_median,cross_source_ratio,cross_source_log10_gap,cross_source_nearest_factor,cross_source_factor_relative_error,flag_cross_source_corroborated,n_source_taxon_groups,domain_log10_median,lwr_25_log10,upr_75_log10,iqr_log10,global_outlier_lwr,global_outlier_upr,flag_global_log_outlier,global_ratio_to_median,global_nearest_factor,suggested_scale_factor,diagnostic_reason,diagnostic_priority
Carex,Leaf mass per area,523,10,105.3356392193524,2.022575335075445,5,0.032896660243874803,3.123032288755598e-4,3.505423525614216,1e-4,2.123032288755598,FALSE,10687,-1.7041898635726516,-2.208331081708242,-1.2111205412580495,0.9972105404501928,-5.19996270305882,1.7805110800925286,TRUE,1.876008498104236e-4,1e-4,1e-4,global_log_outlier,medium
Carex intumescens,Leaf mass per area,468,10,363.7566137566138,2.560810898329056,2,0.0026532506558656034,7.294027257579622e-6,5.137032618072649,1e-5,0.27059727424203783,FALSE,10687,-1.7041898635726516,-2.208331081708242,-1.2111205412580495,0.9972105404501928,-5.19996270305882,1.7805110800925286,TRUE,5.432493784455734e-5,1e-4,1e-4,global_log_outlier,medium
Carex nigra,Leaf mass per area,292,1,77.90000000000005,1.8915374576725648,4,0.0047353083153245015,6.078701303369061e-5,4.216189196553985,1e-4,0.39212986966309393,FALSE,10687,-1.7041898635726516,-2.208331081708242,-1.2111205412580495,0.9972105404501928,-5.19996270305882,1.7805110800925286,TRUE,2.5367208514601646e-4,1e-4,1e-4,global_log_outlier,medium
Carex scabrata,Leaf mass per area,468,10,438.0952380952381,2.641568532611636,1,NA,NA,NA,NA,NA,FALSE,10687,-1.7041898635726516,-2.208331081708242,-1.2111205412580495,0.9972105404501928,-5.19996270305882,1.7805110800925286,TRUE,4.5106756966344415e-5,1e-4,1e-4,global_log_outlier,medium
Celtis iguanaea,Leaf mass per area,211,11,82.55899556449714,1.9167644005688689,2,0.012112550463683836,1.4671387873440407e-4,3.8335288011351225,1e-4,0.4671387873440406,FALSE,10687,-1.7041898635726516,-2.208331081708242,-1.2111205412580495,0.9972105404501928,-5.19996270305882,1.7805110800925286,TRUE,2.3935678114490706e-4,1e-4,1e-4,global_log_outlier,medium
Circaea alpina,Leaf mass per area,468,8,871.2121212121212,2.940123909147762,2,0.0020106781834586533,2.307908871448193e-6,5.63678134344028,1e-6,1.3079088714481932,FALSE,10687,-1.7041898635726516,-2.208331081708242,-1.2111205412580495,0.9972105404501928,-5.19996270305882,1.7805110800925286,TRUE,2.2682254931647475e-5,1e-5,1e-5,global_log_outlier,medium
Claytonia caroliniana,Leaf mass per area,468,1,526.3157894736842,2.721246399047171,1,NA,NA,NA,NA,NA,FALSE,10687,-1.7041898635726516,-2.208331081708242,-1.2111205412580495,0.9972105404501928,-5.19996270305882,1.7805110800925286,TRUE,3.754600532246192e-5,1e-4,1e-4,global_log_outlier,medium
Clintonia borealis,Leaf mass per area,468,10,444.6640316205534,2.6480320012715635,1,NA,NA,NA,NA,NA,FALSE,10687,-1.7041898635726516,-2.208331081708242,-1.2111205412580495,0.9972105404501928,-5.19996270305882,1.7805110800925286,TRUE,4.444041799570931e-5,1e-4,1e-4,global_log_outlier,medium
Coleogyne ramosissima,Leaf mass per area,211,11,890.5446422607986,2.9496556951654243,3,0.005291823135446733,5.942232297319248e-6,5.226050374499378,1e-5,0.4057767702680753,FALSE,10687,-1.7041898635726516,-2.208331081708242,-1.2111205412580495,0.9972105404501928,-5.19996270305882,1.7805110800925286,TRUE,2.218985382103687e-5,1e-5,1e-5,global_log_outlier,medium
Condalia ericoides,Leaf mass per area,211,11,83.05274971941667,1.919354015694103,2,0.012040540540600905,1.4497461650912663e-4,3.838708031386027,1e-4,0.4497461650912662,FALSE,10687,-1.7041898635726516,-2.208331081708242,-1.2111205412580495,0.9972105404501928,-5.19996270305882,1.7805110800925286,TRUE,2.3793378906339585e-4,1e-4,1e-4,global_log_outlier,medium
Condea emoryi,Leaf mass per area,211,10,141.12900555700014,2.1496162813572237,2,0.007089812428325687,5.0236394710952635e-5,4.298981535937302,1e-4,0.4976360528904737,FALSE,10687,-1.7041898635726516,-2.208331081708242,-1.2111205412580495,0.9972105404501928,-5.19996270305882,1.7805110800925286,TRUE,1.4002121927298258e-4,1e-4,1e-4,global_log_outlier,medium
