sel_name,kingdom,phylum,class,order,family,genus,species
Cf Shepherdia,Plantae,Tracheophyta,Magnoliopsida,Rosales,Elaeagnaceae,Shepherdia,NA
Cf Sorbus,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Sorbus,NA
Cf Sorbus Aucuparia,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Sorbus,Sorbus Aucuparia
Cf Taxus,Plantae,Tracheophyta,Pinopsida,Cupressales,Taxaceae,Taxus,NA
Cf Viburnum,Plantae,Tracheophyta,Magnoliopsida,Dipsacales,Adoxaceae,Viburnum,NA
Cf Viburnum Opulus,Plantae,Tracheophyta,Magnoliopsida,Dipsacales,Adoxaceae,Viburnum,Viburnum Opulus
Cf Viscum,Plantae,Tracheophyta,Magnoliopsida,Santalales,Santalaceae,Viscum,NA
Cf Vitis,Plantae,Tracheophyta,Magnoliopsida,Vitales,Vitaceae,Vitis,NA
Cf Zelkova,Plantae,Tracheophyta,Magnoliopsida,Rosales,Ulmaceae,Zelkova,NA
Chamaecyparis Thyoides,Plantae,Tracheophyta,Pinopsida,Cupressales,Cupressaceae,Chamaecyparis,Chamaecyparis thyoides
Chamaedaphne Calyculata,Plantae,Tracheophyta,Magnoliopsida,Ericales,Ericaceae,Chamaedaphne,Chamaedaphne calyculata
Chamaerops Humilis,Plantae,Tracheophyta,Liliopsida,Arecales,Arecaceae,Chamaerops,Chamaerops humilis
Cistus,Plantae,Tracheophyta,Magnoliopsida,Malvales,Cistaceae,Cistus,NA
Clethra,Plantae,Tracheophyta,Magnoliopsida,Ericales,Clethraceae,Clethra,NA
Comptonia Peregrina,Plantae,Tracheophyta,Magnoliopsida,Fagales,Myricaceae,Comptonia,Comptonia Peregrina
Coniferae,Plantae,Tracheophyta,Pinopsida,NA,NA,NA,NA
Coniferae Saccate),Plantae,Tracheophyta,Pinopsida,NA,NA,NA,NA
Coniferae Type,Plantae,Tracheophyta,Pinopsida,NA,NA,NA,NA
Coniferae Undiff,Plantae,Tracheophyta,Pinopsida,NA,NA,NA,NA
Cornus Alternifolia,Plantae,Tracheophyta,Magnoliopsida,Cornales,Cornaceae,Cornus,Cornus alternifolia
Cornus Canadensis,Plantae,Tracheophyta,Magnoliopsida,Cornales,Cornaceae,Cornus,Cornus canadensis
Cornus Florida,Plantae,Tracheophyta,Magnoliopsida,Cornales,Cornaceae,Cornus,Cornus florida
Cornus mas,Plantae,Tracheophyta,Magnoliopsida,Cornales,Cornaceae,Cornus,Cornus mas
Cornus Racemosa,Plantae,Tracheophyta,Magnoliopsida,Cornales,Cornaceae,Cornus,Cornus racemosa
Cornus sanguinea,Plantae,Tracheophyta,Magnoliopsida,Cornales,Cornaceae,Cornus,Cornus sanguinea
Cornus Sericea,Plantae,Tracheophyta,Magnoliopsida,Cornales,Cornaceae,Cornus,Cornus sericea
Cornus suecica,Plantae,Tracheophyta,Magnoliopsida,Cornales,Cornaceae,Cornus,Cornus suecica
Corylus,Plantae,Tracheophyta,Magnoliopsida,Fagales,Betulaceae,Corylus,NA
Corylus Americana,Plantae,Tracheophyta,Magnoliopsida,Fagales,Betulaceae,Corylus,Corylus americana
Corylus avellana,Plantae,Tracheophyta,Magnoliopsida,Fagales,Betulaceae,Corylus,Corylus avellana
Corylus Cornuta,Plantae,Tracheophyta,Magnoliopsida,Fagales,Betulaceae,Corylus,Corylus cornuta
Cotinus Coggygria,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Anacardiaceae,Cotinus,Cotinus coggygria
Crasulaceae sp,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Crassulaceae,NA,NA
Crataegus Monogyna,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Crataegus,Crataegus monogyna
Cupressaceae,Plantae,Tracheophyta,Pinopsida,Cupressales,Cupressaceae,NA,NA
Cupressaceae Taxaceae,Plantae,Tracheophyta,Pinopsida,Cupressales,NA,NA,NA
Cupressaceae Taxaceae Undiff,Plantae,Tracheophyta,Pinopsida,Cupressales,NA,NA,NA
Cyrilla Racemiflora,Plantae,Tracheophyta,Magnoliopsida,Ericales,Cyrillaceae,Cyrilla,Cyrilla racemiflora
Cytisus Scoparius,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Cytisus,Cytisus scoparius
Daphne Gnidium,Plantae,Tracheophyta,Magnoliopsida,Malvales,Thymelaeaceae,Daphne,Daphne gnidium
Daphne Laureola,Plantae,Tracheophyta,Magnoliopsida,Malvales,Thymelaeaceae,Daphne,Daphne laureola
Droserophyllum lusitanicum,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Droserophyllaceae,Droserophyllum,Droserophyllum lusitanicum
Echiballium elaterinum,Plantae,Tracheophyta,Magnoliopsida,Cucurbitales,Cucurbitaceae,Ecballium,Ecballium elaterium
Elaeagnus Commutata,Plantae,Tracheophyta,Magnoliopsida,Rosales,Elaeagnaceae,Elaeagnus,Elaeagnus Commutata
