finding_id,finding_type,current_path,symbol,owner_issue,message,resolution_status,exception_id
ARCH-FINDING-0030,function_naming,R/Functions/Modelling/Cross_validation/make_spatial_cross_validation_assignments.R,make_spatial_cross_validation_assignments,#141,Review leading verb `make` against version 1.,excepted,ARCH-141-030
ARCH-FINDING-0031,function_naming,R/Functions/Modelling/Cross_validation/read_sjsdm_tier_survivor_decisions.R,read_sjsdm_tier_survivor_decisions,#141,Review leading verb `read` against version 1.,excepted,ARCH-141-031
ARCH-FINDING-0032,function_naming,R/Functions/Modelling/Cross_validation/read_sjsdm_tier_tuning_artifact.R,read_sjsdm_tier_tuning_artifact,#141,Review leading verb `read` against version 1.,excepted,ARCH-141-032
ARCH-FINDING-0033,nested_named_helper,R/Functions/Modelling/Cross_validation/assemble_sjsdm_cached_selected_folds.R,get_cache_record;prepare_fold_function;fit_function;predict_function,#141,Extract or explicitly retain the named nested helper.,excepted,ARCH-141-033
ARCH-FINDING-0034,nested_named_helper,R/Functions/Modelling/Cross_validation/assess_sjsdm_candidate_guardrails.R,prepare_tuning_candidate;prepare_repeat_metrics,#141,Extract or explicitly retain the named nested helper.,excepted,ARCH-141-034
ARCH-FINDING-0035,nested_named_helper,R/Functions/Modelling/Cross_validation/evaluate_sjsdm_fold_predictions.R,evaluate_source,#141,Extract or explicitly retain the named nested helper.,excepted,ARCH-141-035
ARCH-FINDING-0036,nested_named_helper,R/Functions/Modelling/Cross_validation/run_sjsdm_selected_candidate_folds.R,make_prediction_skeleton,#141,Extract or explicitly retain the named nested helper.,excepted,ARCH-141-036
ARCH-FINDING-0037,nested_named_helper,R/Functions/Modelling/Cross_validation/run_sjsdm_tuning_work_item.R,prepare_cached_fold,#141,Extract or explicitly retain the named nested helper.,excepted,ARCH-141-037
ARCH-FINDING-0038,nested_named_helper,R/Functions/Modelling/Fit_inputs/prepare_fold_spatial_predictors.R,make_sample_partition,#141,Extract or explicitly retain the named nested helper.,excepted,ARCH-141-038
ARCH-FINDING-0039,nested_named_helper,R/Functions/Modelling/Fit_inputs/prepare_model_fold_input.R,make_abiotic_partition,#141,Extract or explicitly retain the named nested helper.,excepted,ARCH-141-039
