finding_type,severity,current_path,symbol,owning_issue,message
function_naming,report_only,R/Functions/Traits/Classification/get_functional_type_classification_path.R,get_functional_type_classification_path,#153,Review leading verb `get` against version 1.
function_naming,report_only,R/Functions/Traits/Classification/make_trait_table.R,make_trait_table,#153,Review leading verb `make` against version 1.
function_naming,report_only,R/Functions/Traits/Classification/read_functional_type_classification.R,read_functional_type_classification,#153,Review leading verb `read` against version 1.
function_naming,report_only,R/Functions/Traits/Reports/generate_trait_qc_report.R,generate_trait_qc_report,#153,Review leading verb `generate` against version 1.
function_naming,report_only,R/Functions/Utility/Config/get_active_config.R,get_active_config,#155,Review leading verb `get` against version 1.
function_naming,report_only,R/Functions/Utility/Config/get_config_value_with_fallback.R,get_config_value_with_fallback,#155,Review leading verb `get` against version 1.
function_naming,report_only,R/Functions/Utility/Config/get_preprocessing_controller.R,get_preprocessing_controller,#155,Review leading verb `get` against version 1.
function_naming,report_only,R/Functions/Utility/Coordinates/get_coords.R,get_coords,#155,Review leading verb `get` against version 1.
function_naming,report_only,R/Functions/Utility/Coordinates/get_spatial_window.R,get_spatial_window,#155,Review leading verb `get` against version 1.
function_naming,report_only,R/Functions/Utility/Parsing/add_age_column_from_rownames.R,add_age_column_from_rownames,#155,Review leading verb `add` against version 1.
function_naming,report_only,R/Functions/Utility/Parsing/add_dataset_name_column_from_rownames.R,add_dataset_name_column_from_rownames,#155,Review leading verb `add` against version 1.
function_naming,report_only,R/Functions/Utility/Parsing/get_age_from_string.R,get_age_from_string,#155,Review leading verb `get` against version 1.
function_naming,report_only,R/Functions/Utility/Parsing/get_continent_id_from_scale_id.R,get_continent_id_from_scale_id,#155,Review leading verb `get` against version 1.
function_naming,report_only,R/Functions/Utility/Parsing/get_dataset_name_from_string.R,get_dataset_name_from_string,#155,Review leading verb `get` against version 1.
function_naming,report_only,R/Functions/Utility/Paths_and_stores/get_functional_type_classification_path_from_store.R,get_functional_type_classification_path_from_store,#155,Review leading verb `get` against version 1.
function_naming,report_only,R/Functions/Utility/Paths_and_stores/get_latest_dated_file_path.R,get_latest_dated_file_path,#155,Review leading verb `get` against version 1.
