candidate_id,review_stage,taxon_name,trait_domain_name,n_records,n_trait_names,n_datasets,n_domain_outliers,n_taxon_outliers,n_invalid_values,source_references,candidate_reasons,n_source_rules,n_proposed_source_rules,n_approved_source_rules,proposed_source_rule_ids,approved_source_rule_ids,investigation_outcome
c24e8e9eed07dd74e944749d465a7c7c1289a4af8ced22e0d0cf3c345e79c469,classified,Plantago maritima,Leaf Area,10,1,1,0,1,0,,taxon_outlier,0,0,0,,,approve_none_grouped
fadaafdf8d4ddc1c7bcd31a7b2d12c4ecb92fb21c3a7e8895a42cb09bf14a122,classified,Plantago media,Leaf Area,76,3,11,2,11,0,,domain_outlier;taxon_outlier,2,0,2,,3f0543786babf50f90453c5af328dd77ba325efbdbd416d4aadf3aea9a3c4ec6;97c906fe31a77ac5fee55e78eb7bc23e414574540ead697f130d1355cf189f82,approve_none_after_source_rule
840e8a4e0e1da8a31e8a3b030ba6fb5aba00673d0d6a9094bcc167a5a594f5a1,classified,Plantago patagonica,Leaf Area,10,1,1,0,2,0,,taxon_outlier,0,0,0,,,approve_none_grouped
4345b4497029c0e7389c5b2c922074d0b7e348a95dbf4979d0900e0e706c9fd2,classified,Plantago schwarzenbergiana,Leaf Area,10,1,1,0,2,0,,taxon_outlier,0,0,0,,,approve_none_grouped
f614914e8c9b4b4f055ca98a99557acbfbe3118375a4ee1d5bfdb94c11a1a46d,classified,Platycladus orientalis,Leaf Area,15,1,1,0,2,0,,taxon_outlier,0,0,0,,,approve_none_grouped
730ebb74c8224374c6c4deea1b1e81715eb7827e143387da90c9ea4019da64d1,classified,Poa alpina,Leaf Area,147,3,10,0,9,0,,taxon_outlier,1,0,1,,8ddea77f82d884c1f128128e4ecd902453e642499cb52df3b28d00cf682288ab,approve_none_after_source_rule
f304d28f632a071be5ef40e0126e9b239897b2833eb2b7a82e67ba6847a8c345,classified,Poa compressa,Leaf Area,29,2,5,0,2,0,,taxon_outlier,0,0,0,,,approve_none_grouped
3cca77864de54fdc182eb02cdf4fb23ed92fe071baa6644f0cc0e3ee8067198d,classified,Poa fendleriana,Leaf Area,20,1,2,0,2,0,,taxon_outlier,0,0,0,,,approve_none_grouped
165c1bd2f76b982f86b7e1f9815549fe1a49db2eeaf17a4bb105a384827a2b78,classified,Poa laxa,Leaf Area,10,1,1,0,3,0,,taxon_outlier,0,0,0,,,approve_none_grouped
f221d64bf8ce8b142acfbc35c2ad074ff0019d2af1ea9a7f1b78bff50baf12d1,classified,Poa nemoralis,Leaf Area,60,1,6,4,2,0,,domain_outlier;taxon_outlier,0,0,0,,,approve_none_grouped
c9b3d0b7b8fccff518a8b48213401979c1923a9b5326b0e53ee0f0ae78be4730,classified,Poa pratensis,Leaf Area,551,4,86,1,85,0,,domain_outlier;taxon_outlier,1,0,1,,e4504212b94c4e98f98f76ddea21e6c14b670b0c7aae7732d5367fd7d08e2017,approve_none_after_source_rule
007f1d757e81868ef8fba556c09c0cf542f14d2ce1f4347dc5be54c0c8935d9c,classified,Poa trivialis,Leaf Area,64,2,44,7,7,0,,domain_outlier;taxon_outlier,1,0,1,,e4504212b94c4e98f98f76ddea21e6c14b670b0c7aae7732d5367fd7d08e2017,approve_none_after_source_rule
037fc7d4d456ec647b5acbcfd033113a09a91a8e9bddeac528366df13e47c060,classified,Polemonium villosum,Leaf Area,15,1,1,0,1,0,,taxon_outlier,0,0,0,,,approve_none_grouped
a8d43d842d1efa9040c25315d82896caa63bc2aff28aecdd324e6d523a5b8596,classified,Polycarpon tetraphyllum,Leaf Area,11,2,2,0,1,0,,taxon_outlier,0,0,0,,,approve_none_grouped
b571e1c3bf359e926157cf8aba316531a1f4059f6a5bdd58bd349342bbf860b3,classified,Polygala comosa,Leaf Area,11,2,2,0,1,0,,taxon_outlier,0,0,0,,,approve_none_grouped
